COMID,HUC8,WA,Elev,BMMI,IWI,Slope
12664.A,10190006,31.0599,1558.498368,,0.142121814,0.00376068
13584.A,10190006,103.8159,3230.255404,,0.247456983,0.04717076
79368.A,3090206,300.6252,1.480710958,0.226666667,0.700217294,0.00001
89748.A,3090202,7984.0449,3.225136491,,0.305446198,0.00001
89748.B,3090202,7984.0449,3.225136491,,0.305446198,0.00001
89748.C,3090202,7984.0449,3.225136491,,0.305446198,0.00001
89748.D,3090202,7984.0449,3.225136491,,0.305446198,0.00001
89748.E,3090202,7984.0449,3.225136491,,0.305446198,0.00001
89748.F,3090202,7984.0449,3.225136491,,0.305446198,0.00001
89748.G,3090202,7984.0449,3.225136491,,0.305446198,0.00001
89748.H,3090202,7984.0449,3.225136491,,0.305446198,0.00001
89748.I,3090202,7984.0449,3.225136491,,0.305446198,0.00001
89748.J,3090202,7984.0449,3.225136491,,0.305446198,0.00001
89748.K,3090202,7984.0449,3.225136491,,0.305446198,0.00001
90536.A,3090206,206.505,1.099546219,0.159,0.353065943,0.00001
188073.A,10190002,41.3865,1718.213223,,0.725212561,0.01014483
188121.A,10190002,20.4732,1674.728422,,0.330684378,0.01028869
188341.A,10190002,69.5232,2299.650306,,0.478683608,0.02272994
188619.A,10190003,8939.9646,2678.093335,,0.866365287,0.00358128
188623.A,10190002,24.2064,2150.76856,0.47,0.885154058,0.04178101
188631.A,10190002,680.6178,2488.878041,0.806666667,0.703873303,0.00535176
190407.A,10190002,5449.689,2855.273067,,0.447471401,0.00697204
191819.A,10190002,272.5128,2182.711842,,0.896394439,0.01080077
191819.B,10190002,272.5128,2182.711842,,0.896394439,0.01080077
191839.A,10190002,189.4275,2219.380482,,0.373190951,0.0079397
191839.B,10190002,189.4275,2219.380482,,0.373190951,0.0079397
192089.A,10190002,72.1206,2283.590727,,0.268505238,0.00822479
192089.B,10190002,72.1206,2283.590727,,0.268505238,0.00822479
197391.A,10080011,836.3799,1623.43001,,0.725698255,0.00492258
197615.A,10080011,1030.3281,1573.934986,0.324666667,0.642922973,0.0027852
226565.A,10190003,25021.3626,2301.942645,,0.203372916,0.00101544
228553.A,10190003,140.5467,1715.431534,0.301,0.468199891,0.00324464
228553.B,10190003,140.5467,1715.431534,0.301,0.468199891,0.00324464
228553.C,10190003,140.5467,1715.431534,0.301,0.468199891,0.00324464
228593.A,10190003,10000.9521,2604.486967,,0.177922612,0.00480119
229493.A,10190003,12216.2967,2563.449895,,0.215536954,0.00001
229493.B,10190003,12216.2967,2563.449895,,0.215536954,0.00001
230039.A,10190003,18.3105,1789.907911,,0.651787371,0.00840636
231167.A,10190003,440.4987,2159.138682,,0.264806518,0.01411904
238848.A,10020003,15.3756,2568.783506,0.387666667,0.803098251,0.10434886
249130.A,11050001,30973.7187,953.0235414,,0.3248525,0.00118201
249130.B,11050001,30973.7187,953.0235414,,0.3248525,0.00118201
249130.C,11050001,30973.7187,953.0235414,,0.3248525,0.00118201
249182.A,11050002,31366.2699,946.1947882,,0.2548385,0.00065152
249182.B,11050002,31366.2699,946.1947882,,0.2548385,0.00065152
249258.A,11050002,66.9978,393.8885163,,0.4312927,0.00139603
249294.A,11050002,32303.6451,930.0344369,,0.2484162,0.00067293
249294.B,11050002,32303.6451,930.0344369,,0.2484162,0.00067293
249294.C,11050002,32303.6451,930.0344369,,0.2484162,0.00067293
249332.A,11050002,251.7615,403.2910653,0.352,0.2269198,0.00061442
249354.A,11050002,32996.3571,918.5414602,0.203666667,0.3350615,0.00051559
249642.A,11050002,31700.592,940.3684658,0.409333333,0.2505625,0.00088235
251068.A,11050002,126.8964,333.0166565,0.411,0.2141151,0.00102503
251340.A,11050002,6.7788,349.3094397,,0.2170405,0.00895791
251528.A,11050002,1434.9627,338.5554392,,0.3291877,0.00049596
251698.A,11050002,1060.9704,382.2138491,,0.2158204,0.00106701
251784.A,11050002,88.3683,338.1278702,,0.2142871,0.00159528
252172.A,11050002,156.8871,383.4135973,0.641,0.3126508,0.00001
253754.A,11050002,42.6519,345.6061415,0.306333333,0.1876084,0.00144891
253830.A,11050002,35595.5661,933.2993395,,0.1745763,0.00043874
253854.A,11050002,28.6281,320.0497636,,0.2404099,0.00277593
255228.A,11050002,33444.0711,911.0306162,0.381,0.2273986,0.00001
255270.A,11050002,72272.0196,897.4428327,,0.2727367,0.00113146
255270.B,11050002,72272.0196,897.4428327,,0.2727367,0.00113146
255270.C,11050002,72272.0196,897.4428327,,0.2727367,0.00113146
255336.A,11050002,36512.9541,865.104317,,0.4275169,0.0015545
255336.B,11050002,36512.9541,865.104317,,0.4275169,0.0015545
255336.C,11050002,36512.9541,865.104317,,0.4275169,0.0015545
255558.A,11050002,34537.401,894.2350243,,0.1993519,0.00001
255558.B,11050002,34537.401,894.2350243,,0.1993519,0.00001
267835.A,13040100,82265.5917,2106.007381,,0.855447885,0.00001
317833.A,13080001,325.7991,408.5533592,,0.810454104,0.00220127
318267.A,13080001,1291.1382,460.7776159,,0.859069595,0.00224083
319389.A,13080001,321142.0671,1488.570002,,0.851773259,0.00001
331660.A,13070008,77366.0556,1373.652339,,0.626459513,0.00039853
332706.A,13070008,83057.8968,1340.882358,,0.896973463,0.00117965
332914.A,13070008,976.0824,814.2144255,0.422333333,0.861125754,0.00294384
332914.B,13070008,976.0824,814.2144255,0.422333333,0.861125754,0.00294384
338145.A,13090001,445004.4222,1260.653609,0.780333333,0.771193862,0.00001
346279.A,18040010,20.6442,2616.806731,,0.770140236,0.13664562
359295.A,18010206,25.2405,1603.372991,0.406666667,0.396700756,0.04294962
359295.B,18010206,25.2405,1603.372991,0.406666667,0.396700756,0.04294962
360321.A,18010206,71.6346,1066.245716,0.485666667,0.707741757,0.01331819
361533.A,18010206,20.5497,1308.882923,,0.858686135,0.05163486
362083.A,18010206,36.63,1901.345763,0.49,0.802266971,0.05911357
362143.A,18010206,18489.1482,1435.604837,,0.450459933,0.00001
367983.A,11110101,6.3612,226.1306749,,0.38371,0.00692533
368003.A,11110101,35.0901,216.6198135,,0.5551157,0.00184085
368123.A,11110101,217711.4301,1040.279752,0.151,0.3099282,0.00001
368123.B,11110101,217711.4301,1040.279752,0.151,0.3099282,0.00001
369135.A,11110101,217468.2753,1041.179065,,0.6917328,0.00060919
369205.A,11110101,217549.2447,1040.883993,0.143,0.1979943,0.00038689
369207.A,11110101,217602.2484,1040.688077,0.122666667,0.2543966,0.00039208
369207.B,11110101,217602.2484,1040.688077,0.122666667,0.2543966,0.00039208
369211.A,11110101,217697.121,1040.334098,0.194333333,0.3159583,0.00055045
371105.A,11110101,218860.5546,1036.092781,,0.3448617,0.00006984
371131.A,11110101,218865.9483,1036.071742,,0.5877152,0.00066184
371131.B,11110101,218865.9483,1036.071742,,0.5877152,0.00066184
371131.C,11110101,218865.9483,1036.071742,,0.5877152,0.00066184
371181.A,11110101,218889.6498,1035.981666,,0.443206,0.00001
371305.A,11110101,219855.6756,1032.365964,,0.1924401,0.00025398
371305.B,11110101,219855.6756,1032.365964,,0.1924401,0.00025398
372489.A,11110101,151.1532,276.1054725,,0.5897661,0.00070422
372503.A,11110101,132.768,278.0679723,0.135666667,0.2531293,0.000929
380740.A,11110102,2.8494,200.5257707,,0.8701753,0.0067142
381670.A,11110102,274701.6306,886.9734422,,0.6779551,0.00001
381672.A,11110102,3.2229,171.4216336,0.183666667,0.6734753,0.00971291
381824.A,11110102,275623.5564,884.682965,,0.8027249,0.0076345
381824.B,11110102,275623.5564,884.682965,,0.8027249,0.0076345
381840.A,11110102,275662.143,884.5834315,,0.3960929,0.00004761
381840.B,11110102,275662.143,884.5834315,,0.3960929,0.00004761
381840.C,11110102,275662.143,884.5834315,,0.3960929,0.00004761
381858.A,11110102,275650.1631,884.6148072,0.178333333,0.6977508,0.00001
382960.A,11110102,41.1201,216.6385351,,0.8010236,0.00069919
383150.A,11110102,119.8692,180.7668168,,0.8417712,0.00056693
388792.A,11100301,30340.1232,1008.708424,,0.7760752,0.00107788
388792.B,11100301,30340.1232,1008.708424,,0.7760752,0.00107788
388792.C,11100301,30340.1232,1008.708424,,0.7760752,0.00107788
388800.A,11100301,30498.7392,1006.641029,,0.5561843,0.00084356
388800.B,11100301,30498.7392,1006.641029,,0.5561843,0.00084356
389084.A,11100301,443.0322,658.2810217,0.539666667,0.6074396,0.00271574
389858.A,11100301,4.5927,560.1800235,0.485666667,0.5380504,0.00878716
390116.A,11100301,32302.5741,984.1068945,,0.2945837,0.00081784
390116.B,11100301,32302.5741,984.1068945,,0.2945837,0.00081784
390116.C,11100301,32302.5741,984.1068945,,0.2945837,0.00081784
390888.A,11100301,33328.9116,969.7493344,0.566333333,0.7077743,0.00042857
390946.A,11100301,33498.3555,967.2681285,0.434333333,0.5324423,0.00080702
391068.A,11100301,32.2263,480.7919209,,0.9227272,0.00286094
391142.A,11100301,3.4155,456.5424638,0.503333333,0.6052094,0.00649915
391180.A,11100301,34031.3481,959.203073,0.303666667,0.2922717,0.00057744
391658.A,11100301,34220.2446,956.2753461,0.399333333,0.5500781,0.00050552
397258.A,11110103,58.9275,401.3614633,,0.8380567,0.00368615
397282.A,11110103,77.1804,398.5682442,0.263333333,0.3545859,0.00113483
397282.B,11110103,77.1804,398.5682442,0.263333333,0.3545859,0.00113483
397366.A,11110103,92.0349,389.2611195,,0.732057,0.00251464
397388.A,11110103,95.382,394.9072602,0.327,0.5907822,0.0017141
397466.A,11110103,112.1634,385.9804453,,0.4170347,0.00001
397574.A,11110103,43.0623,404.6630827,,0.6864723,0.00533126
397616.A,11110103,34.8912,408.3129274,,0.4097291,0.00533771
397618.A,11110103,32.5656,409.8604184,0.216333333,0.6979959,0.00541666
397646.A,11110103,29.0844,411.1749393,,0.6989131,0.00561521
397652.A,11110103,56.2167,346.290754,0.236666667,0.6981688,0.00493374
397728.A,11110103,47.0205,349.0072302,,0.7935298,0.0041518
397770.A,11110103,34.3215,353.7850148,,0.698517,0.00276096
397866.A,11110103,35.8614,372.0464945,,0.8449043,0.00453076
398032.A,11110103,14.76,330.5453604,,0.6979976,0.00845481
398182.A,11110103,15.2613,319.4944642,,0.7782788,0.00651109
398312.A,11110103,26.7129,400.0000307,,0.5879306,0.00491698
398312.B,11110103,26.7129,400.0000307,,0.5879306,0.00491698
398350.A,11110103,43.5114,411.081766,,0.7401138,0.00338942
398394.A,11110103,29.8107,414.1801135,,0.8741237,0.00396167
398430.A,11110103,1472.6214,380.5553369,,0.8324659,0.00001
398442.A,11110103,2137.4397,369.0305891,,0.2469575,0.00001
398516.A,11110103,117.8136,365.3445743,,0.8423669,0.00244227
398522.A,11110103,2236.806,366.3068932,,0.6575758,0.0000483
398526.A,11110103,60.4269,361.5193865,,0.6196462,0.00393861
398544.A,11110103,35.3088,375.7635907,,0.5050277,0.00417995
398550.A,11110103,2252.4093,365.8855689,,0.5073641,0.0064096
398610.A,11110103,32.7591,369.5731394,,0.6982416,0.00995133
398654.A,11110103,2291.3217,364.7566959,,0.7819172,0.00001
398772.A,11110103,37.4652,378.9987657,,0.886399,0.00344976
398832.A,11110103,86.2182,375.380329,,0.8207292,0.0029779
398956.A,11110103,63.6183,400.0349138,,0.6980718,0.00122494
399044.A,11110103,82.1754,405.0227426,0.449,0.7470291,0.00228519
399468.A,11110103,53.6742,397.6811944,,0.7658121,0.00430753
399496.A,11110103,69.2028,391.0881142,,0.6977846,0.003013
399514.A,11110103,299.5704,354.9474404,,0.405311,0.00174707
399514.B,11110103,299.5704,354.9474404,,0.405311,0.00174707
399566.A,11110103,51.9345,366.0784364,0.485333333,0.736593,0.00395606
399838.A,11110103,88.8264,323.7460987,,0.793866,0.00001
399866.A,11110103,58.0743,390.3943259,,0.8424239,0.00309818
399960.A,11110103,44.3223,339.0911388,,0.8205621,0.0040942
399992.A,11110103,72.0828,413.2251318,0.576333333,0.8066084,0.00113146
399994.A,11110103,1.2186,386.7556869,,0.6985179,0.01925948
399996.A,11110103,10.4553,294.1719282,,0.8450194,0.01140086
400078.A,11110103,2356.2603,362.4379016,,0.697825,0.00146647
400202.A,11110103,63.6093,327.8527728,,0.6969155,0.00435797
400250.A,11110103,520.4709,365.9809362,,0.6980649,0.0020599
400380.A,11110103,2460.294,359.1994748,0.21,0.6980655,0.00288461
400440.A,11110103,410.2794,377.9282279,,0.8485008,0.00001
400496.A,11110103,808.002,346.218693,,0.6682231,0.00071231
